label,gr,exit_lag_rate,N_max,shape
Curve02387,0.29334776008281793,0.21421571490985455,0.3596462638414802,2.2757593720067355
Curve02140,0.27271414961128004,0.20472221336136756,0.3361303383203125,2.7523252596944774
Curve01812,0.2463128026807329,0.2869799443729017,0.34098662156006176,2.8625195553113225
Curve00253,0.24351356926752762,0.25775559358789946,0.2808127064419084,2.5949438686646085
Curve00001,0.000531294455035045,49.99999999893754,5.216871111818675,22.524364064402814
Curve02304,0.2866549039660061,0.27712328903099626,0.3596434759751705,2.544641215023558
Curve00498,0.3623931132305939,0.03431097175959868,0.3173130951572267,3.2460530031702857
Curve02469,0.25621665062814014,0.2574027709502167,0.3303297264920954,2.9761413370134475
Curve00417,0.254562849389959,0.28454252803945396,0.3403325441475162,2.8565311142162164
Curve01731,0.3059999464577186,0.17136673999610239,0.33634201953585263,2.2989049427256143
Curve00911,0.2612178672680826,0.2275414105264858,0.33520779049634514,2.779895363518503
Curve01566,0.27112148446063894,0.22392899531920327,0.33962802502914885,2.6185839229416175
Curve01074,0.26621609534834,0.21456442675317408,0.33966455546378604,2.7531670654281766
Curve01895,0.2347795546736527,0.3721925392070267,0.33514246643389284,2.8212745170656675
Curve01157,0.24455994827663888,0.33892582197223703,0.35347704704761485,3.1508484295634602
Curve01977,0.22604228445415395,0.3459364111476832,0.3234078823869585,2.8180032625225806
Curve01321,0.2518461993944646,0.26303817152999,0.33718863624493084,3.2636850221934366
Curve02222,0.27607616276773017,0.19758029894073798,0.3393458146239496,2.7240151054370956
Curve00583,0.24644594492013658,0.23660257651356179,0.3202367381127767,3.222251952179347
Curve02058,0.251634434584735,0.21595327234836237,0.3320097124473991,3.1510018639267434
Curve00828,0.2840741647887434,0.2023976997809795,0.3403929964529908,2.4830800436607294
Curve00172,0.21951021238711915,0.5814524897103235,0.34360005960215173,3.294584478288912
Curve01240,0.26772262142696823,0.24652976560903833,0.3471982180624157,2.748473075178586
Curve01404,0.25550221955779495,0.2636170057715048,0.3354524834418132,3.164132607183791
Curve01648,0.28202774871604885,0.18326331725227904,0.34956681470411094,2.5142729260741135
Curve00335,0.2102243063911151,0.43083542923345136,0.33341238878937873,3.646217907795635
Curve01485,0.2636759201820604,0.139572312127255,0.3246665822519234,2.6377649170757467
Curve00089,0.20438660654472984,0.48627073911555646,0.33119185685847347,3.7463084158256548
Curve02141,0.2605845396946643,0.22006587992507207,0.3316388510662195,2.7055757369741933
Curve02388,0.28522010192351455,0.23633304139751232,0.33950513823927847,2.7108415739746605
Curve00747,0.24553073193080588,0.2628995004337708,0.332731527108953,3.4397358475270536
Curve02305,0.2836771253721905,0.19782092731799988,0.33866800912678163,2.512788944256021
Curve01158,0.2540699582521435,0.3336953942219188,0.3473183610397359,2.6565469647466085
Curve00584,0.24817286633481,0.2366072899238299,0.3219308089516179,3.085626003746631
Curve00664,0.16853369072813296,0.133046612903688,0.3725959584184561,3.902007714706799
Curve01896,0.27218306270168946,0.2735426878285553,0.3486187282579031,2.343809487961792
Curve02550,0.3195953321909875,0.1381608940925752,0.34203321566653483,2.244362243170335
Curve01732,0.256655844679387,0.23398660038523675,0.3335444980250324,3.0597549988336343
Curve00254,0.25963410098988904,0.21246849325799297,0.32330437644081206,3.239469991061267
Curve01322,0.27611532786637233,0.23252694575588,0.34813379786691045,2.7418994772271077
Curve01567,0.2591602104262203,0.2206809890523832,0.3329285765557504,2.6610890764757062
Curve00994,0.38553309353077025,0.05930734945751716,0.33936736047908944,2.2440322120513865
Curve00173,0.20801326690076882,0.6835750167859291,0.3349153334582216,4.040394540618161
Curve01405,0.23323981751656642,0.3047340969428374,0.351917236254897,3.8399859807458867
Curve01241,0.2802424289298896,0.20977299426015422,0.3446062181010711,2.53287592811417
Curve01649,0.27843586565088624,0.1894540332812261,0.34362834835423567,2.7675610620861972
Curve01075,0.25500925181579087,0.21370004514987034,0.3263805644343045,2.708856917507161
Curve00090,0.22041932056155122,0.42334988445703464,0.3387413747281855,3.2369287440446426
Curve00829,0.29448363375974007,0.17345549644318314,0.3517001877598242,2.664130159834376
Curve00912,0.2786287451102356,0.21691694839424183,0.34107723858116307,2.6492014275058025
Curve01486,0.209544577205783,0.2434861120558176,0.3205758347057655,3.468027943552773
Curve01897,0.2453025850711037,0.2807136864861845,0.3431496675012455,2.86476134939319
Curve02470,0.26364102585508004,0.243230975658002,0.33420266256052505,2.9349783888374383
Curve00418,0.25731887164816997,0.30061044017692773,0.3442784002923687,3.147743371704012
Curve01159,0.23458344415207996,0.361620686349205,0.3315385740563327,3.2096630607885634
Curve01978,0.2145606752789534,0.4121326819513182,0.3224932988709433,3.2661183975385404
Curve02142,0.2878016574488575,0.20406167444688555,0.34733200743328574,2.5526445126678077
Curve01406,0.3331486175600179,0.18168754540653295,0.41297757389129397,1.9114948473097537
Curve00336,0.2236269376675049,0.3674022619987814,0.34084364762596003,3.4218469974167314
